	Collocate	Freq	Coll. freq.	logDice	Category (Dominant)	Category #2	Category #3	Example	Example (Translation)	Notes/Rationale
0	deliti	56	5275	7.86833	Ideology	Aims	Activites/Discourse	Izmišljamo si zakone, ki nas delijo, razdvajajo, delijo na naše in vaše .	We invent laws that divide us, separate us, divide us into ours and yours.	Deliti na naše in vaše (to divide between Ours and Yours): Direct reference to political polarisation, call to overcome this division and is related to various PI categories (ideological division, aim to overcome this division or in turn to blame opposing side for profiting from division, connected with shared values. 
1	delitev	50	4606	7.83328	Ideology	Aims	Norms & values	V primerih, ko gre za dobro vseh državljank in državljanov Slovenije in slovenske države na splošno, je delitev na vaše in naše popolnoma neprimerno.	In cases where the welfare of all citizens of Slovenia and the Slovenian state in general is at stake, the division between yours and ours is completely inappropriate.	Delitev na naše in vaše (division into Ours and Yours): Similar function as for deliti, but contrary to that collocation, delitev is a direct reference or naming of the phenomenon.
2	domovina	12	1993	6.42667	Norms & values			Naj pa zaključim z iskreno pohvalo in zahvalo, spoštovane športnice, spoštovani športniki, za vaš trud, za vašo promocijo naše domovine [...]	Let me conclude with sincere praise and gratitude, dear athletes, for your efforts and for promoting our homeland.	(Homeland/Home country): Both reference to common value (as in example), as well as direct attack ([...] že slovenski mediji vam držijo štango v vaših lažeh in seveda bi bili presrečni, če bi se ne samo odstranilo predsednika Vlade, ampak da bi se Slovenija sesula, potem pa ne vem kam bi prodali to našo domovino. / The Slovenian media are already supporting you in your lies, and of course they would be overjoyed if not only the Prime Minister were removed, but Slovenia were to collapse, and then I don't know where they would sell our homeland.)
3	lev	16	4073	6.30064	Ideology	Group relations		[...] imeli smo namen pokazati, da lahko premagamo delitev na desne in leve, na vaše in naše [...]	[...] we wanted to show that we can overcome the division between right and left, between yours and ours [...]	(Left): Directly referencing ideological polarisation, referring to left-leaning political orientation or group (e.g. left opposition/coalition/government), mostly part of the phrase delitev na leve in desne (Division to left and right) (Example: [...] omejevanje človekovih pravic ne bo upirala vaša, ampak naša leva opozicija. ; Tukaj ne sme biti delitve na naše ali vaše , na leve ali desne, kakorkoli.)
4	desen	13	3321	6.17419	Ideology	Group relations		Mene žalosti, da se ta razprava dotika nekega ideološkega boja med levimi, desnimi, med našimi med vašimi.	It saddens me that this debate touches on some kind of ideological struggle between the left and the right, between us and you.	(Right): Same function as for Left, but denoting right-leaning ideological division/group/government/party...
5	rubrika	5	162	5.90197	Ideology			... ne bodo napisani pod rubriko naši in vaši , da ne bomo govorili o naših glavah in vaših glavah,...	...they will not be written under the heading ours and yours, so that we will not talk about our heads and your heads,...	(Section): Low frequency, but directly naming/reffering to political division
6	ločevanje	5	258	5.85229	Ideology	Activities/Discourse	Group relations	To kaže na politično segregacijo, na sistematično delitev, na ločevanje na vaše in naše , celo zelo poudarjeno in izstopajoče.	This indicates political segregation, systematic division, separation into us and them, even in a very pronounced and conspicuous way.	(Dividing/separating): An act of separation or division into (Us/Them, Left/Right), used to refer to political division
7	zanamec	5	307	5.82757	Norms & values			V prvi vrsti lahko rečem, da gre pri tem za kriminalna dejanja, ki ogrožajo vse nas, in kar je najhuje, ogrožajo naše zanamce, naše otroke, vaše vnuke. 	First and foremost, I can say that these are criminal acts that threaten all of us and, worst of all, threaten our descendants, our children, your grandchildren. 	(Descendant): Synonym for our children, our shared future and those that will come after us, posed as questions that underline in-direct attacks to the opposing side. However, very low frequency
8	deljenje	4	123	5.60072	Ideology	Group relations		[Nehajte] Izkoriščati za deljenje ljudi na vaše in naša in da se končno enkrat začnemo ukvarjati z našo prihodnostjo.	(Stop) exploiting people to divide them into yours and ours, and let us finally start dealing with our future.	(Dividing): Same function as (Divising/separating)
9	razlika	26	15347	5.57075	Ideology	Group relations		Ampak veste, kaj je razlika med vašo in našo vlado? Razlika je v tem, da je nas zavezovalo fiskalno pravilo, vas pa ne.	But do you know what the difference is between your government and ours? The difference is that we were bound by fiscal rules, while you were not.	(Difference): One of the clearest examples of division, where the division is undelined by highlighting the differences in Us and Them, trying to compare the (good) results of Us and emphasise the (poor/bad) results/work of Them.
10	nevladnik	4	251	5.53392	Group relations	Power resources		In kar naprej se gremo naši-vaši ; naši nevladniki, vaši nevladniki in tako naprej.	And we keep going on and on with our-yours; our non-governmental organizations, your non-governmental organizations, and so on.	(Non-governmental - organisations): Another dimension of division ( e.g. And we keep going on with our-yours; our non-governmental organizations, your non-governmental organizations, and so on.). Very low frequency
11	spodnji	6	1982	5.43014	Ideology	Group relations		Sicer ne bom govoril o popravi krivic iz prejšnjega ali iz tega režima ali pa celo iz tega leta, ker bi potem lahko zašli spet v nekakšno razpravo o levih, desnih, zgornjih, spodnjih, naših in vaših ; 	I will not talk about righting the wrongs of the previous regime or this one, or even those of this year, because then we could get bogged down again in some kind of debate about left, right, top, bottom, ours and yours.	(Lower/bottom): Another dimension of division (upper-lower/top-bottom). Specific to only one speaker (Tomaž Lisec, SDS), where he figuratively uses this to denote various objects of political division, e.g. Government, Majors, ideological groups etc.)
12	predhodnik	7	2891	5.39029	Group relations	Power resources	Ideology	Mi smo pred leti v Državnem zboru, moji predhodniki – naši, vaši , od vseh nas – odločili, da se ustanovi zdravstvena blagajna z namenom, da ta denar ne bo več na ministrstvu. 	Years ago, in the National Assembly, my predecessors—ours, yours, all of us—decided to establish a health fund so that this money would no longer be held by the ministry.	(Predecessor): A (political) predecessor, relates to the role (and function) of an MP/party or a speaker. 
13	skupen	26	17886	5.37964	Norms & values	Activities/Discourse		Vaša vlada, naša skupna vlada, v kateri je tudi naša stranka SAB, je po dolgih letih krize in potem neke vrste finančne konsolidacije končno lahko sprejela tudi nekatere ukrepe, ki jih čutijo tudi posamezniki.	Your government, our joint government, which also includes our party, SAB, has finally been able to adopt certain measures that are also felt by individuals, after many years of crisis and then a period of financial consolidation.	(Common): Referencing common entities/shared goods, mostly relating to naš (naši skupni rezultati'izzivi/vlada/država). Mostly used to highlight common challenges, but also part of attacks (Ko smo pa to predlagali mi, ste pa zavrnili, čeprav je vaš predlog oziroma bi moral biti naš skupni za naše upokojence.) 
14	vnuk	4	713	5.31569	Norms & values			Njim je vseeno, kaj se bo zgodilo z nami pa v vašimi in našimi otroki, vnuki in tako naprej. 	They don't care what happens to us, to your children, our children, grandchildren, and so on.	(Grandchild): Figurative use to denote future, future generations and is used to attack the opposing side. 
15	ceniti	5	1676	5.26732	Activities/Discourse	Group relations		Gospa ministrica, prof. dr. Simona Kustec, cenim vaše delo, zato imate tudi našo podporo včeraj, danes in tudi jutri!	Minister Simona Kustec, I appreciate your work, and you have our support yesterday, today, and tomorrow!	(To appreciate): Very low frequency, but related to either expression of appreciation or other very specific cases. 
16	vaš	63	51739	5.24816	Ideology			Taka izjava kaže na dojemanje vas, očitno delite mnenje o pravosodnem sistemu vaše stranke, vašega predsednika, ki pravi vedno takrat, kadar mu kakšna sodna odločitev ni všeč, da imamo v naši državi krivosodje.	Such a statement reveals your perception; you clearly share the opinion of your party's judicial system, your president, who always says, whenever he does not like a court decision, that we have a miscarriage of justice in our country.	(Yours): The collocate that denotes repetition of the vaš (e.g. [...] vaših otrok, vaših rodbin in za našo Slovenijo), serving as emphasis of the fault/actions of the other side. It is a discursive marker that does relate to identity, but on its own does not carry PI meaning.
17	cantarutti	3	79	5.20938						Personal pronoun (Name of MP), min. frequency
18	glava	8	4529	5.20498						Two specific speeches, low frequency.
19	odločenost	3	117	5.18889						Very low frequency
