	Item	Frequency (focus)	Frequency (reference)	Relative frequency (focus)	Relative frequency (reference)	Score
0	vaš	38362	20601	2650.42749	551.07086	4.676
1	ti	62356	62812	4308.1709	1680.20312	2.546
2	zanimati	5234	6475	361.61661	173.20439	1.975
3	prositi	5814	7928	401.68878	212.07175	1.817
4	odgovor	9856	14046	680.9502	375.7265	1.771
5	zavajati	1097	1332	75.79163	35.63062	1.722
6	interpelacija	5203	7578	359.47482	202.70934	1.704
7	odgovoriti	3398	4898	234.76755	131.0201	1.687
8	laž	1344	1754	92.85685	46.919	1.686
9	janša	3267	4844	225.71677	129.57562	1.643
10	ja	6529	10132	451.08807	271.02811	1.619
11	očitati	2434	3676	168.16486	98.33195	1.59
12	ministrica	8714	14019	602.04956	375.00427	1.575
13	grims	559	653	38.62127	17.46756	1.565
14	odstopiti	1392	2057	96.17316	55.02416	1.548
15	početi	3770	6062	260.46899	162.15677	1.54
16	magnetogram	735	973	50.78109	26.02747	1.538
17	sd	1451	2180	100.24947	58.31438	1.535
18	minister	32101	54003	2217.85547	1444.56482	1.528
19	gospa	8821	14709	609.4422	393.46155	1.522
20	tanko	503	597	34.75223	15.96958	1.522
21	šef	635	825	43.8721	22.06851	1.518
22	gospod	32840	55637	2268.91284	1488.27393	1.518
23	replika	544	671	37.58492	17.94906	1.517
24	prebrati	4113	6748	284.16684	180.50708	1.517
25	spraševati	5855	9721	404.52148	260.03397	1.516
26	sedeti	2807	4539	193.93541	121.41695	1.513
27	janez	2879	4694	198.90988	125.56316	1.504
28	lagati	504	616	34.82132	16.47783	1.503
29	napisati	2608	4313	180.18651	115.37152	1.479
30	zahvaljevati	770	1124	53.19924	30.06668	1.462
31	zdajle	682	969	47.11932	25.92047	1.462
32	gorenak	551	743	38.06854	19.87504	1.456
33	oprostiti	1496	2422	103.35851	64.78781	1.455
34	izjava	3100	5306	214.17874	141.93399	1.446
35	hvaliti	899	1377	62.11184	36.83435	1.445
36	ventilator	295	299	20.38153	7.99816	1.442
37	klemenčič	576	805	39.79579	21.53352	1.44
38	direktor	3192	5546	220.53502	148.35391	1.429
39	žaliti	392	486	27.08325	13.00036	1.427
40	cerar	1236	2014	85.39513	53.87392	1.427
41	razložiti	1005	1596	69.43536	42.69255	1.427
42	novinar	1299	2133	89.74781	57.05714	1.424
43	minuta	1410	2340	97.41679	62.59433	1.422
44	möderndorfer	399	508	27.56688	13.58885	1.416
45	maska	650	969	44.90845	25.92047	1.413
46	npu	414	538	28.60323	14.39135	1.413
47	norec	355	431	24.52692	11.52913	1.412
48	izjaviti	731	1120	50.50473	29.95968	1.411
49	replicirati	344	413	23.76693	11.04763	1.41
50	hojs	432	575	29.84684	15.38109	1.409
51	obtožba	1065	1738	73.58076	46.491	1.407
52	kršiti	1784	3058	123.25641	81.80062	1.407
53	citirati	2254	3936	155.72868	105.28688	1.403
54	pisati	5079	9140	350.90768	244.49239	1.402
55	rtv	1856	3213	128.23088	85.94683	1.399
56	proceduralen	466	647	32.1959	17.30707	1.399
57	levičar	302	348	20.86515	9.3089	1.394
58	mimogrede	1260	2123	87.0533	56.78965	1.394
59	jerovšek	403	537	27.84324	14.3646	1.392
60	televizija	1195	2007	82.56245	53.68668	1.392
61	tiho	510	737	35.23586	19.71454	1.391
62	zdaj	19706	36417	1361.48584	974.14435	1.39
63	vizjak	610	926	42.14485	24.77024	1.388
64	vedeti	35459	65824	2449.85938	1760.77319	1.387
65	notri	1483	2555	102.46035	68.34552	1.386
66	kdaj	4099	7443	283.19958	199.09813	1.384
67	nastop	1500	2594	103.63487	69.38876	1.383
68	ven	1040	1741	71.85352	46.57125	1.38
69	protest	666	1041	46.01389	27.84645	1.38
70	erjavec	707	1118	48.84657	29.90618	1.38
71	sprenevedati	407	558	28.1196	14.92634	1.378
72	poslušati	5831	10745	402.86331	287.42569	1.375
73	kadrovati	299	358	20.65788	9.5764	1.375
74	točno	2265	4058	156.48866	108.55034	1.373
75	razlagati	1487	2598	102.73671	69.49577	1.371
76	pogledati	9667	18019	667.89227	482.00311	1.37
77	arhiv	852	1406	58.86461	37.6101	1.369
78	gledati	5800	10746	400.72153	287.45245	1.368
79	neresnica	436	622	30.1232	16.63832	1.368
80	objaviti	787	1285	54.37376	34.37338	1.368
81	usta	602	938	41.59213	25.09123	1.366
82	sprenevedanje	588	912	40.62487	24.39574	1.366
83	simoniti	240	254	16.58158	6.79443	1.365
84	braniti	1092	1867	75.44619	49.94172	1.365
85	kabinet	391	541	27.01416	14.4716	1.364
86	tale	1029	1761	71.09352	47.10625	1.357
87	bručan	248	275	17.1343	7.35617	1.357
88	dejati	2708	4962	187.09549	132.73209	1.356
89	medij	4305	8007	297.4321	214.18497	1.355
90	brati	2275	4140	157.17957	110.74382	1.355
91	postopkoven	367	504	25.356	13.48186	1.355
92	kriv	2203	4006	152.20509	107.15936	1.354
93	opozicija	7169	13494	495.3056	360.96063	1.353
94	premier	816	1365	56.37737	36.51336	1.351
95	poslati	1728	3113	119.38737	83.27186	1.35
96	tiskoven	505	774	34.89041	20.70428	1.349
97	janković	453	676	31.29773	18.08281	1.347
98	neumnost	691	1133	47.74113	30.30742	1.347
99	nehati	793	1333	54.7883	35.65737	1.344
